"ID_Frame","behavior_label","Experimenter"
"PTZ_5_00001","SW","E11"
"PTZ_5_00002","SW","E11"
"PTZ_5_00003","SW","E11"
"PTZ_5_00004","SW","E11"
"PTZ_5_00005","SW","E11"
"PTZ_5_00006","SW","E11"
"PTZ_5_00007","SW","E11"
"PTZ_5_00008","SW","E11"
"PTZ_5_00009","SW","E11"
"PTZ_5_00010","SW","E11"
"PTZ_5_00011","SW","E11"
"PTZ_5_00012","SW","E11"
"PTZ_5_00013","NT","E11"
"PTZ_5_00014","NT","E11"
"PTZ_5_00015","NT","E11"
"PTZ_5_00016","NT","E11"
"PTZ_5_00017","SW","E11"
"PTZ_5_00018","SW","E11"
"PTZ_5_00019","SW","E11"
"PTZ_5_00020","SW","E11"
"PTZ_5_00021","SW","E11"
"PTZ_5_00022","SW","E11"
"PTZ_5_00023","SW","E11"
"PTZ_5_00024","SW","E11"
"PTZ_5_00025","SW","E11"
"PTZ_5_00026","SW","E11"
"PTZ_5_00027","SW","E11"
"PTZ_5_00028","SW","E11"
"PTZ_5_00029","SW","E11"
"PTZ_5_00030","SW","E11"
"PTZ_5_00031","SW","E11"
"PTZ_5_00032","SW","E11"
"PTZ_5_00033","SW","E11"
"PTZ_5_00034","SW","E11"
"PTZ_5_00035","SW","E11"
"PTZ_5_00036","SW","E11"
"PTZ_5_00037","SW","E11"
"PTZ_5_00038","SW","E11"
"PTZ_5_00039","SW","E11"
"PTZ_5_00040","SW","E11"
"PTZ_5_00041","SW","E11"
"PTZ_5_00042","SW","E11"
"PTZ_5_00043","SW","E11"
"PTZ_5_00044","SW","E11"
"PTZ_5_00045","SW","E11"
"PTZ_5_00046","SW","E11"
"PTZ_5_00047","SW","E11"
"PTZ_5_00048","SW","E11"
"PTZ_5_00049","SW","E11"
"PTZ_5_00050","SW","E11"
"PTZ_5_00051","SW","E11"
"PTZ_5_00052","NT","E11"
"PTZ_5_00053","NT","E11"
"PTZ_5_00054","NT","E11"
"PTZ_5_00055","NT","E11"
"PTZ_5_00056","NT","E11"
"PTZ_5_00057","SW","E11"
"PTZ_5_00058","SW","E11"
"PTZ_5_00059","SW","E11"
"PTZ_5_00060","SW","E11"
"PTZ_5_00061","SW","E11"
"PTZ_5_00062","SW","E11"
"PTZ_5_00063","SW","E11"
"PTZ_5_00064","SW","E11"
"PTZ_5_00065","SW","E11"
"PTZ_5_00066","SW","E11"
"PTZ_5_00067","SW","E11"
"PTZ_5_00068","SW","E11"
"PTZ_5_00069","SW","E11"
"PTZ_5_00070","SW","E11"
"PTZ_5_00071","SW","E11"
"PTZ_5_00072","SW","E11"
"PTZ_5_00073","SW","E11"
"PTZ_5_00074","SW","E11"
"PTZ_5_00075","SW","E11"
"PTZ_5_00076","SW","E11"
"PTZ_5_00077","SW","E11"
"PTZ_5_00078","SW","E11"
"PTZ_5_00079","SW","E11"
"PTZ_5_00080","NT","E11"
"PTZ_5_00081","NT","E11"
"PTZ_5_00082","NT","E11"
"PTZ_5_00083","NT","E11"
"PTZ_5_00084","SW","E11"
"PTZ_5_00085","SW","E11"
"PTZ_5_00086","SW","E11"
"PTZ_5_00087","SW","E11"
"PTZ_5_00088","SW","E11"
"PTZ_5_00089","SW","E11"
"PTZ_5_00090","SW","E11"
"PTZ_5_00091","SW","E11"
"PTZ_5_00092","SW","E11"
"PTZ_5_00093","SW","E11"
"PTZ_5_00094","SW","E11"
"PTZ_5_00095","SW","E11"
"PTZ_5_00096","SW","E11"
"PTZ_5_00097","SW","E11"
"PTZ_5_00098","NT","E11"
"PTZ_5_00099","NT","E11"
"PTZ_5_00100","NT","E11"
"PTZ_5_00101","SW","E11"
"PTZ_5_00102","SW","E11"
"PTZ_5_00103","SW","E11"
"PTZ_5_00104","SW","E11"
"PTZ_5_00105","SW","E11"
"PTZ_5_00106","SW","E11"
"PTZ_5_00107","SW","E11"
"PTZ_5_00108","SW","E11"
"PTZ_5_00109","SW","E11"
"PTZ_5_00110","SW","E11"
"PTZ_5_00111","SW","E11"
"PTZ_5_00112","NT","E11"
"PTZ_5_00113","NT","E11"
"PTZ_5_00114","NT","E11"
"PTZ_5_00115","NT","E11"
"PTZ_5_00116","NT","E11"
"PTZ_5_00117","SW","E11"
"PTZ_5_00118","SW","E11"
"PTZ_5_00119","SW","E11"
"PTZ_5_00120","NT","E11"
"PTZ_5_00121","SW","E11"
"PTZ_5_00122","SW","E11"
"PTZ_5_00123","SW","E11"
"PTZ_5_00124","SW","E11"
"PTZ_5_00125","SW","E11"
"PTZ_5_00126","SW","E11"
"PTZ_5_00127","SW","E11"
"PTZ_5_00128","SW","E11"
"PTZ_5_00129","SW","E11"
"PTZ_5_00130","SW","E11"
"PTZ_5_00131","SW","E11"
"PTZ_5_00132","SW","E11"
"PTZ_5_00133","SW","E11"
"PTZ_5_00134","SW","E11"
"PTZ_5_00135","SW","E11"
"PTZ_5_00136","SW","E11"
"PTZ_5_00137","SW","E11"
"PTZ_5_00138","SW","E11"
"PTZ_5_00139","SW","E11"
"PTZ_5_00140","SW","E11"
"PTZ_5_00141","SW","E11"
"PTZ_5_00142","SW","E11"
"PTZ_5_00143","SW","E11"
"PTZ_5_00144","SW","E11"
"PTZ_5_00145","SW","E11"
"PTZ_5_00146","SW","E11"
"PTZ_5_00147","HYPE","E11"
"PTZ_5_00148","HYPE","E11"
"PTZ_5_00149","HYPE","E11"
"PTZ_5_00150","HYPE","E11"
"PTZ_5_00151","HYPE","E11"
"PTZ_5_00152","HYPE","E11"
"PTZ_5_00153","HYPE","E11"
"PTZ_5_00154","HYPE","E11"
"PTZ_5_00155","HYPE","E11"
"PTZ_5_00156","HYPE","E11"
"PTZ_5_00157","HYPE","E11"
"PTZ_5_00158","HYPE","E11"
"PTZ_5_00159","HYPE","E11"
"PTZ_5_00160","HYPE","E11"
"PTZ_5_00161","HYPE","E11"
"PTZ_5_00162","HYPE","E11"
