"ID_Frame","behavior_label","Experimenter"
"PTZ_4_00001","NT","E4"
"PTZ_4_00002","NT","E4"
"PTZ_4_00003","NT","E4"
"PTZ_4_00004","NT","E4"
"PTZ_4_00005","NT","E4"
"PTZ_4_00006","NT","E4"
"PTZ_4_00007","NT","E4"
"PTZ_4_00008","NT","E4"
"PTZ_4_00009","NT","E4"
"PTZ_4_00010","NT","E4"
"PTZ_4_00011","NT","E4"
"PTZ_4_00012","NT","E4"
"PTZ_4_00013","NT","E4"
"PTZ_4_00014","NT","E4"
"PTZ_4_00015","NT","E4"
"PTZ_4_00016","NT","E4"
"PTZ_4_00017","NT","E4"
"PTZ_4_00018","NT","E4"
"PTZ_4_00019","NT","E4"
"PTZ_4_00020","NT","E4"
"PTZ_4_00021","NT","E4"
"PTZ_4_00022","NT","E4"
"PTZ_4_00023","NT","E4"
"PTZ_4_00024","NT","E4"
"PTZ_4_00025","NT","E4"
"PTZ_4_00026","NT","E4"
"PTZ_4_00027","NT","E4"
"PTZ_4_00028","NT","E4"
"PTZ_4_00029","NT","E4"
"PTZ_4_00030","NT","E4"
"PTZ_4_00031","NT","E4"
"PTZ_4_00032","NT","E4"
"PTZ_4_00033","NT","E4"
"PTZ_4_00034","NT","E4"
"PTZ_4_00035","NT","E4"
"PTZ_4_00036","NT","E4"
"PTZ_4_00037","NT","E4"
"PTZ_4_00038","NT","E4"
"PTZ_4_00039","NT","E4"
"PTZ_4_00040","NT","E4"
"PTZ_4_00041","NT","E4"
"PTZ_4_00042","NT","E4"
"PTZ_4_00043","NT","E4"
"PTZ_4_00044","NT","E4"
"PTZ_4_00045","NT","E4"
"PTZ_4_00046","NT","E4"
"PTZ_4_00047","NT","E4"
"PTZ_4_00048","NT","E4"
"PTZ_4_00049","NT","E4"
"PTZ_4_00050","NT","E4"
"PTZ_4_00051","NT","E4"
"PTZ_4_00052","NT","E4"
"PTZ_4_00053","NT","E4"
"PTZ_4_00054","NT","E4"
"PTZ_4_00055","NT","E4"
"PTZ_4_00056","NT","E4"
"PTZ_4_00057","NT","E4"
"PTZ_4_00058","NT","E4"
"PTZ_4_00059","NT","E4"
"PTZ_4_00060","NT","E4"
"PTZ_4_00061","NT","E4"
"PTZ_4_00062","NT","E4"
"PTZ_4_00063","NT","E4"
"PTZ_4_00064","NT","E4"
"PTZ_4_00065","NT","E4"
"PTZ_4_00066","NT","E4"
"PTZ_4_00067","NT","E4"
"PTZ_4_00068","NT","E4"
"PTZ_4_00069","NT","E4"
"PTZ_4_00070","NT","E4"
"PTZ_4_00071","NT","E4"
"PTZ_4_00072","NT","E4"
"PTZ_4_00073","NT","E4"
"PTZ_4_00074","NT","E4"
"PTZ_4_00075","NT","E4"
"PTZ_4_00076","NT","E4"
"PTZ_4_00077","NT","E4"
"PTZ_4_00078","NT","E4"
